packet_size,protocol_type,duration,source_bytes,destination_bytes,count,same_srv_rate,serror_rate,threat
40,3,0.7308086419558133,3575,3036,6,0.8547482592202383,0.09171820535308303,0
1359,0,0.34556075034207945,3687,145,7,0.7842223418506299,0.024468434903717987,0
607,2,0.5291036304638622,682,4534,8,0.7714266644237479,0.02067146555058772,0
542,0,0.16162979789270138,4186,4149,10,0.8631925867779955,0.035137532719988096,0
513,1,0.6282477920027517,4884,4727,9,0.7576832164426962,0.05000035547576464,0
210,3,0.2779406708430344,3327,2529,8,0.9524134362370426,0.024113018338409967,0
175,2,0.9030791123137685,556,1652,2,0.83057973522375,0.002086356942627232,0
1497,1,0.5433057346401126,1060,1918,8,0.9669449786119804,0.04064498430835081,0
906,1,0.05309295256371527,900,1426,5,0.7486746772353544,0.09358061362123393,0
611,0,0.7499732361132215,2439,4117,3,0.9933847218616507,0.09959558678252907,0
923,3,0.16083204231766268,1235,4124,8,0.7434207981291506,0.0892786220430897,0
1236,3,0.27306079885464335,8000,36,63,0.17636158632508445,0.49516455336571435,1
233,3,0.15523186600519556,2436,684,10,0.8358934964106932,0.05600578767922207,0
971,2,0.31164354771592007,2007,3396,4,0.9458870522463313,0.0981796524531054,0
1448,3,0.9462721948672621,4050,3846,3,0.7371753548849393,0.013637240177512933,0
1084,3,0.5394535913674073,2579,1212,10,0.8079625320780414,0.08450698435216329,0
1263,1,0.35145824273330795,2651,2328,9,0.8997333881001766,0.09497151216382507,0
718,0,0.6292680054092585,3657,2398,9,0.9706784593217406,0.04407852266985235,0
1428,0,0.9632333941030715,4536,249,10,0.8302818545770454,0.01656381694225293,0
209,3,0.6146056941647897,892,1383,7,0.9823437451768473,0.09723757216843075,0
1056,0,0.4254689678521246,2347,1611,2,0.9419034578941784,0.002983512807421729,0
231,1,0.09840016634451798,3499,1935,10,0.9330325360726031,0.0744976387803211,0
448,3,0.23163492724930668,436,942,9,0.9446926462715414,0.00386445643119151,0
928,3,0.3642029597427784,2952,3702,3,0.7134712581525899,0.08603513326735651,0
1374,1,0.18798194527283385,635,3636,3,0.7311598961346187,0.06386596984554417,0
127,0,0.1592272559820992,1436,4386,6,0.8372783363427403,0.08354244937013261,0
983,2,0.1620807331891626,4178,909,3,0.9876375681274747,0.048204350128524254,0
1406,2,0.27143072055974116,166,3604,2,0.8110852757858383,0.09573145562810899,0
668,1,0.40347549649525183,2890,4591,4,0.8169949949376609,0.030449165601828577,0
1129,2,0.4587708608284053,93,9989,15,0.08956642654522613,0.4132404399284173,1
204,3,0.4363469708403708,4763,3188,1,0.7885907548845512,0.02045184149569096,0
989,2,0.8305356310185631,2953,154,10,0.982557544608859,0.064419466706344,0
945,0,0.7283646560977625,3444,3319,1,0.7194179231733286,0.03905258236088275,0
1018,0,0.3450955638229538,3,95,33,0.22872009711822097,0.6570249672419992,1
1498,1,1.985604142397844,94,14,73,0.45440608405234983,0.9222414078991257,1
68,1,1.9077259168527023,41,86,60,0.10758546500866324,0.6612279422562718,1
1867,2,0.10130511719249047,20,87,3,0.541356256778859,0.6990961335993084,1
1625,2,2.398342395919133,8616,6762,84,0.11907702675243122,0.6246003080731638,1
284,2,0.19608042066933373,635,1260,5,0.7845285848511033,0.01783934937337648,0
1006,0,0.19529904725335157,3330,1050,4,0.9964545930399298,0.00634117144898857,0
1935,1,0.22577100170419356,49,9579,6,0.10771042009412764,0.584697478374687,1
732,3,0.25171917324676396,1184,1645,6,0.9344818472229315,0.010118632892232771,0
782,0,0.5669724718398049,4269,4634,4,0.7106442539746646,0.02243134979434569,0
119,3,0.833713586003446,2859,4326,2,0.9821901425977467,0.07123956090569564,0
787,3,0.5076712352937871,1695,2491,7,0.9375059221007835,0.022582776173129405,0
1492,1,0.8439312154236246,165,4555,9,0.7519772440672826,0.034041748316343205,0
758,1,0.6199201692095677,1913,4793,5,0.8228428253538822,0.024390783256598506,0
726,3,0.12380102347150679,1844,1118,1,0.9807527923898743,0.053764213069509084,0
380,3,0.329552526490935,513,2032,9,0.8669616604757567,0.02294193093971866,0
1890,1,0.38107992912474126,5849,7504,1,0.5440926404586212,0.48693926576676305,1
1291,1,0.6474821418537979,2597,3212,4,0.8602232454955143,0.0979964856514106,0
142,0,0.2562711312687086,1887,228,3,0.878231574084059,0.048128378813715844,0
168,0,0.4105726672785841,4324,1440,4,0.7040984778677688,0.0466534791401965,0
799,2,0.7936905223018345,931,908,7,0.9103949018710145,0.03818264525725273,0
706,0,0.2580768053921748,16,1566,9,0.956965839640868,0.016182445949514013,0
82,2,0.40805801748019505,52,7282,33,0.08838795353630428,0.4761553695308346,1
68,3,0.0757651929520542,42,26,6,0.35333719915685613,0.8711731581747497,1
600,1,0.9430658173193871,1609,2023,9,0.9253317507842334,0.09986076448571451,0
189,0,0.7097687496719061,3635,3467,7,0.928509690718967,0.021338843200656765,0
572,3,0.44732479430696503,606,2375,8,0.711301164451519,0.09442635823999633,0
145,2,0.06733050765935222,4031,798,8,0.964250586735816,0.08411133319034071,0
50,0,0.5743680473251468,3261,2718,5,0.7548192021748981,0.033043821015979684,0
687,2,0.5909789241824503,1768,676,9,0.727645858456143,0.025022591279472473,0
291,2,0.5954774418357632,4501,4769,5,0.8094849483662833,0.09008783520538782,0
1542,2,0.10592684404823888,9873,7959,93,0.26314125187102355,0.4212815663724616,1
1254,2,0.9208689827498601,3293,2466,9,0.9658480593821241,0.028144383578547594,0
95,1,1.5487145732684493,21,47,7,0.034937253856301975,0.8149058372962927,1
1217,2,0.6591689303179342,4068,1825,10,0.8087066532425377,0.040915022761823884,0
1335,1,0.6015664246441076,2208,3456,6,0.8921358552481492,0.08519919262909709,0
82,0,4.062516714753068,58,80,42,0.13524467214469987,0.6827986609263632,1
1416,2,0.3105069640574517,1514,31,1,0.9849500384372405,0.06460816330640812,0
77,2,0.45263142338156503,2329,1525,1,0.8336186696887053,0.01341754464584376,0
58,3,4.4941453151982955,98,9953,51,0.18979458900799534,0.9732969956770572,1
88,3,3.519256515032312,71,92,1,0.31850743537757376,0.9388821867753179,1
1490,1,3.6359758348755036,9668,5302,22,0.07670122255643916,0.6354881321478867,1
174,1,0.9840465107246843,668,3691,4,0.8529247905619999,0.06493178171959539,0
573,2,0.07836021519472369,2168,4270,6,0.9465356732743948,0.09208949175185362,0
1278,2,0.44905654047452237,529,1994,2,0.7878053326537742,0.048734745316783894,0
325,0,0.47013316434085883,2941,4755,7,0.7783328263035663,0.049112449939547664,0
1148,2,0.9380941748924156,408,561,1,0.9172245970791579,0.027735634859287508,0
67,2,0.19387637729690588,73,9728,17,0.6347455320333991,0.9227392982276938,1
891,2,0.7702045097543979,52,783,8,0.9527897117847933,0.06454292869999455,0
1273,1,0.199046045167533,1997,3732,3,0.9763978756520971,0.027738251965619843,0
1112,0,0.9491438416642404,1714,4233,6,0.9715704029308108,0.008604847226879242,0
182,3,0.5551485337964422,4853,3893,10,0.8379813936781921,0.020634500540850444,0
1887,1,0.01032621675207901,6424,7390,16,0.4881454476804497,0.6951715139982884,1
330,2,0.9489357606362204,333,1635,2,0.783818228775836,0.005104116999701336,0
1131,1,0.12125917113446727,3347,2870,4,0.7755036603403198,0.009612934182831235,0
833,2,0.30045085658669946,4029,396,1,0.9705863587742625,0.04522087494438579,0
794,0,0.9750482206185002,2362,3617,4,0.7343182108302603,0.0423328616474991,0
230,3,0.4354789026209188,2536,246,1,0.8336626251019478,0.07285634844556142,0
86,1,0.924627433115635,418,4380,4,0.7872520697624331,0.005036381798386603,0
1057,3,0.6014415001064457,4665,986,4,0.8508117399328743,0.0745950042015567,0
543,2,0.8155870416408945,1070,3433,2,0.7542539561011713,0.061009216000257355,0
407,0,0.9668591255428429,2220,1192,2,0.8476645926680059,0.06967788894097135,0
69,1,0.5839084470513435,437,779,1,0.7776511106105074,0.004459870803231592,0
1706,1,0.1938067808989391,8394,8461,4,0.48437127571584093,0.6072020025274519,1
1428,2,0.0033466596244373648,1280,2631,10,0.8777930591107366,0.09364983539917367,0
872,1,0.9266936334421112,1756,417,3,0.8870768866380413,0.05016940285355245,0
275,1,0.9554559282811796,3607,4150,7,0.7928320379102515,0.0607716257660521,0
843,1,0.12111916524351896,31,3662,9,0.9883025857733441,0.04783783411306186,0
728,2,0.3913017293410753,1443,1345,3,0.7553505295019918,0.06548526628450926,0
721,3,0.7943930770546511,4494,260,5,0.9102388634204079,0.017744059196603924,0
455,1,0.86734354357336,2753,49,9,0.8523256624236808,0.08168320931111961,0
1149,0,0.12775302211586098,5,8217,9,0.04050970337308037,0.556000946748259,1
597,3,0.629959389476073,3384,1942,1,0.9934915749758958,0.09068881676768056,0
106,1,0.3749697655129567,3849,4085,5,0.9763194522307256,0.05624618000453552,0
1171,1,0.09110692959708822,2866,3258,7,0.9331828035181192,0.09730588717646764,0
287,2,0.6732867307243477,4014,2917,7,0.8638822089080764,0.046153651528800146,0
332,2,0.0022467882271378636,4201,1331,10,0.9086884683883028,0.08866579864541017,0
908,1,0.2627253373577785,139,2310,9,0.7384936208053178,0.042513883446755565,0
82,1,0.42996564090528505,5,7950,100,0.12558298577482405,0.829111737863224,1
142,1,0.5216180189014047,2956,4649,10,0.8545618638229455,0.065059195557284,0
1048,2,0.6015743884119623,697,200,8,0.8622358443835518,0.07681989735574353,0
1649,2,0.33073646296714015,43,85,1,0.050919735441991916,0.45556142919078824,1
306,1,0.7778154681459667,2524,4250,8,0.7968172279889548,0.04507610951395651,0
1412,3,0.12950100404144205,669,1481,8,0.889192518145085,0.04412106307905128,0
82,2,0.03302960380958153,86,5181,32,0.3205863254640583,0.5315305265761259,1
836,3,0.04509962939695478,2446,4098,7,0.7772428403664358,0.04449535200173617,0
1150,0,0.024230736118194485,1018,4759,6,0.7785492855048344,0.005306091619945008,0
626,1,0.6849923521289477,4274,4254,7,0.7672550275975537,0.033874771692799226,0
1489,1,0.47165579658964285,2840,3542,7,0.9547878653973398,0.03886037062217595,0
1453,2,0.21706405503154302,571,2670,10,0.775666517841559,0.029590477468303067,0
1205,0,0.7890914182448665,908,435,3,0.9451676675964151,0.047735225216356675,0
1047,2,0.707407472513548,4909,2867,3,0.99258883526309,0.09216399251562782,0
727,3,0.5446055046410492,2370,3351,10,0.8780925893349014,0.0593520866261536,0
226,3,0.6649338122703953,4910,940,10,0.7871144080132315,0.011493527823348428,0
1413,3,0.0979247720087687,3322,2248,9,0.7419688748618131,0.06928384432571201,0
472,2,0.8468893194699465,3565,188,10,0.7828839993583528,0.01616433594716926,0
655,2,0.6055590633900679,3820,84,1,0.7227496368438389,0.09517017799794872,0
1256,2,2.314576614330945,8550,8968,10,0.20869361508908554,0.4431369184428355,1
1155,1,0.968016324136013,3426,3187,5,0.7711261950420063,0.07453032137658665,0
641,0,0.7743045505977447,951,3859,3,0.7611098092433896,0.004982690913084453,0
1038,0,0.013141066002636648,2949,1137,6,0.9858695054387103,0.020090602759288468,0
799,1,0.39563436151315234,4912,1512,7,0.7399818310154939,0.06312509717752929,0
87,2,0.039714979593392596,7815,7,66,0.3068214449895431,0.7503171011988294,1
98,0,0.3252074825308753,7839,64,11,0.21586643543792786,0.8628423074603868,1
1241,0,0.29751194000561476,2745,4189,2,0.7220534705347973,0.025051781627022696,0
1448,1,0.3070374397077388,421,1187,8,0.9922338080489997,0.006939604866494898,0
1323,3,0.6674814433894697,460,119,9,0.8875917289046775,0.054741408150588027,0
410,1,0.43047575790479553,2036,391,8,0.8788580750840608,0.0005984476586971877,0
904,0,0.30687826269008855,3361,1849,4,0.8825795347886125,0.09361099086342668,0
253,2,0.5389476335382827,685,1241,2,0.7432741817153756,0.04963625758646485,0
379,0,0.9227322013827062,4081,4443,5,0.8920575181906778,0.06987627271258877,0
280,0,0.7335626371802481,2025,1527,2,0.971601877745953,0.04624379622174838,0
1299,0,0.770744014626502,2898,2170,7,0.8905815591655706,0.06567771564205695,0
1394,3,0.729258332605534,3212,3669,4,0.8039834827782559,0.08591661137690962,0
283,1,0.5710449009763389,3375,3135,9,0.8870084946059908,0.05847308760611095,0
1294,1,2.4143174099216598,6386,8720,58,0.004793781515803363,0.7569775639538541,1
204,3,0.7494576021464966,513,1011,4,0.9007387397083434,0.03356826058952367,0
72,2,0.48784203495245765,15,8212,65,0.16155951096097768,0.738836709102806,1
281,3,0.11371584812138635,4133,1344,6,0.758676982430403,0.014943247485513435,0
540,0,0.9398460897480552,1815,480,8,0.8106354004311815,0.024223576977550045,0
795,0,0.5006553786887656,1227,82,4,0.9900900567499626,0.05105369144974366,0
1113,3,0.9810971241000701,3925,2340,5,0.8019379083079045,0.012157033744178548,0
878,2,0.9392114856574644,2287,4918,8,0.8643169030276674,0.06843874344968424,0
824,0,0.15707934260123968,4097,4401,6,0.8870682352962126,0.08594739571938907,0
614,3,0.5008936457219191,3719,3537,10,0.9522327763969243,0.003936119784988312,0
932,2,0.8600443326734499,217,1933,4,0.9373553735657754,0.006403565007434342,0
360,2,0.2483144117730982,596,1185,1,0.9731346312139838,0.07112576414380302,0
95,3,0.13323589146760673,3151,2352,10,0.9801522501664378,0.028104133057389027,0
1050,2,0.8171830353450049,4146,3742,3,0.8409760125687087,0.006597568419723355,0
483,3,0.9807061150472403,825,3739,6,0.9922284590626025,0.06012402217783708,0
571,1,0.1509608877382499,2681,3867,2,0.9538570552655342,0.07978706483890217,0
378,3,0.8703585037034427,4303,779,9,0.8047301242431213,0.09564272078576523,0
1759,1,0.3620747903755552,92,8836,18,0.3748825881752801,0.7976600465540999,1
1076,3,0.6731927022519565,3266,343,7,0.703493349453271,0.051858167251618736,0
212,3,0.7472912093321801,3294,40,2,0.9293109351626886,0.07440305700155551,0
805,3,0.5893306242149243,2084,2647,7,0.7768504476775957,0.08870278743267797,0
377,2,0.28730656797243814,3922,3308,10,0.8791764098759187,0.03871922734694312,0
1499,3,0.8057920761741846,3766,1302,5,0.7157147862039605,0.06382201200497166,0
1335,1,0.7451309940709062,1907,4692,7,0.8009334724584279,0.033381916137994565,0
937,2,0.00867599417913445,1644,4874,3,0.8726000280186184,0.0071183239451223295,0
801,0,0.984341928121959,1947,1310,7,0.8696744163841013,0.014416895731098623,0
235,3,0.5373113804704005,4619,4336,9,0.9665450358107144,0.035923480014148405,0
287,2,0.46090410609823196,2563,2816,5,0.9762585112616619,0.03706493991272685,0
896,0,0.8862577201996473,2884,1862,8,0.838432964770137,0.03705612694232995,0
1770,1,1.820952440559115,27,7005,6,0.1440367234720545,0.5147859500156886,1
46,2,1.3704587308604497,8085,89,20,0.09687638365216424,0.3941632971473199,1
59,0,3.8172465576765435,86,9285,6,0.2966853402750075,0.6704329889978349,1
765,0,0.42180826258323123,2999,872,10,0.9060076538328348,0.015486151942579318,0
439,3,0.4806797003766251,2263,4612,2,0.8157147310574792,0.0745748334701508,0
706,2,0.1705282711657724,1727,1907,8,0.9757073584350007,0.08014801787309854,0
1333,1,0.8881634105730539,1496,3271,9,0.8415700826143802,0.044316363113672874,0
1498,3,0.5216624398377455,4677,4768,5,0.7154938842513625,0.03374256085171944,0
313,0,0.11195665515163622,4262,2136,8,0.9129236438533066,0.08348878393648394,0
1492,0,0.8663899529788105,2506,2334,9,0.8300201523574178,0.036760837306972674,0
116,3,0.21071037368692047,1701,3173,8,0.938323078059647,0.07921186545395532,0
1352,0,0.10899742528646406,3974,2748,5,0.8264497116338454,0.060186700338749656,0
855,2,0.37129839060469005,3007,1613,2,0.7716179021279361,0.02246943135176026,0
484,3,0.48956627192695823,671,2979,3,0.9167606826188464,0.04159855153376035,0
723,3,0.9148392234242901,4132,210,10,0.8721054199664955,0.058715561893969516,0
650,2,0.5316354662706322,3308,3067,10,0.8409619125600261,0.0543144148188222,0
1474,3,0.6940335953102386,1126,4963,4,0.8132757727404031,0.06843484464620898,0
387,0,0.4439548852700156,2670,1512,3,0.8035581762460269,0.09259242979035184,0
1109,2,0.8759333407025676,1045,379,3,0.982069619006549,0.02715703398170917,0
144,2,0.6420045496673074,601,1195,3,0.701918003483044,0.060375406921757524,0
1407,3,0.7828989371788272,4076,1648,3,0.7958019925024975,0.09703810932523514,0
409,0,0.8116828491490012,3475,2038,9,0.9342580500460291,0.07587266668512337,0
1495,0,0.18697404696874154,3616,3202,10,0.7365398327436136,0.000701675139847513,0
912,3,0.4715078156836128,1958,91,5,0.9671915644170741,0.088110334830362,0
664,0,0.9427796724064654,4631,1837,7,0.7017238238514322,0.029101324213973923,0
1282,1,0.015458925037278193,2308,1965,3,0.8952456498053863,0.06463262210792257,0
808,3,0.9617012164236374,3896,2538,5,0.8454496189782956,0.0089646599414706,0
162,3,0.2901302147507877,2844,539,8,0.8409546453615167,0.04642669834822162,0
489,0,0.8531690956516963,4299,3454,4,0.9702394258792727,0.07936909797262764,0
1443,1,0.3507715517966108,2359,2997,3,0.8328034531012114,0.09742377277340086,0
435,2,0.05744695613775619,994,0,5,0.9131445219341016,0.0631316028751997,0
88,3,0.1046752244829155,9304,8,8,0.10277874511955988,0.3823733287645513,1
1087,3,0.7050887905056501,608,282,4,0.8642566333909231,0.038963065536566914,0
1072,1,0.8350407223235118,4238,2940,5,0.7905603340421873,0.020569763679801623,0
829,0,0.22694224270766084,1871,4618,8,0.9247234361604237,0.04052495142258723,0
820,1,0.36115040629736883,1897,3161,7,0.8642666397772485,0.02332991663569868,0
307,2,0.347600274527499,664,1184,6,0.7084208467474332,0.07779245340745437,0
1481,2,0.7820174309508172,774,1265,1,0.7666115079750447,0.07826998076954875,0
194,3,0.4671113981957735,3967,652,4,0.8243466641637717,0.09847666174729375,0
899,1,0.10842231574314587,2303,832,4,0.9209960856545931,0.09189961458197059,0
1214,2,0.20203858095432653,8956,8734,1,0.1919801356791298,0.372221104834537,1
775,0,0.6268333639544804,3797,4646,8,0.7751056045914927,0.012017851164686788,0
500,1,0.8443790845370055,764,4903,3,0.8428971768424067,0.07482142725585025,0
1215,2,0.6806940566473271,3891,1505,5,0.7021734816668554,0.01804525612052813,0
1323,2,0.6189548614368799,2555,544,2,0.8496671018529129,0.07716848213018782,0
1103,0,0.14876050549126985,4287,1355,10,0.9726252619230518,0.06519722814729205,0
693,0,0.31188554943973457,2130,2353,6,0.8020439006827349,0.005022923678362468,0
140,3,0.4842222784881186,3812,4621,5,0.7843838959468373,0.030939531329319772,0
1097,0,0.2565668502683335,4685,3102,7,0.9076779210930535,0.04804386267517995,0
1116,3,0.2232552795959456,1439,3884,6,0.8984502167449433,0.04792456892539381,0
335,2,0.5192706217222283,2850,1762,3,0.7333270600228589,0.06134348026879961,0
659,1,0.756121977107983,2938,4840,4,0.9762291519105576,0.07459167107567452,0
1141,1,0.4113849660993258,81,7,85,0.5059279254589003,0.7064508441896534,1
1202,0,0.4457551589630022,1050,1363,8,0.7130932381668246,0.04252189111495607,0
339,1,0.432616138240711,4704,2653,1,0.8852541155544319,0.08935677508303952,0
239,0,0.24856227614914428,2613,2027,9,0.9815970475990563,0.009054361540535195,0
1496,1,0.46273207974420094,3373,4269,1,0.7363858348979496,0.07352838799165033,0
464,2,0.00045000143301121565,4658,4473,10,0.8517859624099735,0.018553674129315977,0
838,3,0.8565862827932982,3506,3409,4,0.7573249447396162,0.04987999624732699,0
295,3,0.14064564752704367,1410,3686,1,0.9068692445723625,0.004742326657450735,0
78,3,3.466682378231301,9795,5337,65,0.2089308559703683,0.8579711872242275,1
226,1,0.5963794789726453,2813,2090,3,0.9311924287997495,0.018286453710635763,0
631,3,0.16971737234644146,3277,2175,3,0.8981919804599867,0.0774601510190075,0
696,3,0.7687041049721051,71,1376,5,0.9409446028755556,0.09328637866917693,0
758,2,0.9562510693367783,1292,1823,5,0.8738120701371421,0.06191416838579255,0
1369,3,0.7787219677492995,1742,4063,5,0.7328135368311762,0.0768091729004109,0
1486,3,0.4863049470446169,413,3907,4,0.8442718329286198,0.03242258872366493,0
252,3,0.1310287053335909,2466,129,8,0.9179978662834356,0.012092642914681984,0
74,1,0.09164701841777806,36,7059,7,0.041492509249012564,0.9061319334695399,1
94,1,0.20174963375491195,8840,7609,7,0.3398597845782054,0.4325297240394047,1
1754,0,3.085351324046453,5410,14,60,0.2125580578638395,0.9346823447573995,1
877,3,0.6185987362977136,3049,1701,6,0.7805439768626298,0.04458592256645791,0
198,2,0.2853332086002863,3192,3751,5,0.7560443096300895,0.07110796021287573,0
255,2,0.4164614812982832,2442,4581,3,0.7863861111770336,0.05054115858179773,0
200,3,0.30416497315129487,2932,1200,8,0.8716922075202285,0.02305319335465761,0
863,0,0.10057549732221471,4722,221,6,0.9987565543840246,0.00932739150187546,0
179,2,0.9936896854209318,2635,2995,4,0.7975305795190165,0.001318351556571329,0
1025,1,0.9300769199650557,4125,10,9,0.7173138744948734,0.08202332669527124,0
61,2,0.0013865285145683859,13,56,10,0.2073351852233741,0.7452708347063262,1
479,3,0.4132765071266934,2648,4069,7,0.7516345924793997,0.0016316171323126462,0
1109,3,0.11885140985245524,196,3779,1,0.9618838658429486,0.041830339420561004,0
559,2,0.4616227915240618,76,815,7,0.7291704217152558,0.09770652365308102,0
1326,1,0.5721613114262827,1201,1300,1,0.7774896496052804,0.04114563123218021,0
924,1,0.2809080095503368,1326,4838,4,0.8359737426839303,0.09435550158230899,0
861,0,0.3373187835889241,3025,226,8,0.7568027287463431,0.018035606607563603,0
1190,3,0.15597976142354752,2425,3372,2,0.8912051455285858,0.0469677201218883,0
440,3,0.08004381415366224,2964,4195,3,0.8592543749369432,0.08737780758608187,0
1177,3,0.14885197828084434,7223,5848,14,0.10730597592174732,0.4519898276657963,1
1138,2,0.5970732171850689,4258,663,6,0.8250738627772662,0.07361711289251884,0
1051,0,0.09136112049116063,3888,3459,10,0.7279662979620775,0.08237142972708406,0
1294,2,0.884360942117194,975,1067,9,0.8977311928007281,0.08620297435405642,0
336,2,0.6442892975777992,4948,695,7,0.8719101545771901,0.07506505557676305,0
487,3,0.7358413077108708,393,3091,3,0.7346143648157976,0.03378957548009355,0
889,3,0.7731907904387387,637,76,7,0.7884639494425102,0.007922777163685002,0
1169,3,0.18973706523693518,32,100,8,0.17004493385419214,0.3511926625791094,1
1392,3,0.6682490143329595,4923,932,4,0.906026047421,0.04588757106161556,0
65,3,0.07511573668243776,8648,9164,59,0.28267743542468976,0.38652709443613115,1
